((ن))((خواه))((ند)|(م)|(یم)|(ی)|(ید)|(د))(((‌| | )))((VBD))	\1\3\5_\15\03
((ن))((VBD))((ه))(((‌| | )))((باش))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3\5_\10\12\03
((ن))((VBD))((ه))(((‌| | )))((باش))((ی))	\1\3\5_\10\12\03
((ن))((VBD))((ه))(((‌| | )))((بود))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3\5_\10\12\03
((ن))((VBD))((ه))(((‌| | )))((است))	\1\3\5_\10\03
((ن))((VBD))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3\5‌\10\03
((ن))((می))(((‌| | )?))((VB))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3‌\8\10\03
((ن))((می))(((‌| | )?))((VBD))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3‌\8\10\03
((ن))((VB))	\1\3\03
((ن))((VB))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3\5\03
((ن))((VBD))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3\5\03
((VBD))((ه))(((‌| | )))((ن))((خواه))((ند)|(م)|(یم)|(ی)|(ید)|(د))(((‌| | )))((شد))	\1\3_\8\10\12_\22\03
((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((باش))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10\12_\17\19\03
((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((باش))((ی))	\1\3_\8\10\12_\17\19\03
((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((بود))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10\12_\17\19\03
((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((است))	\1\3_\8\10\12_\17\03
((VBD))((ه))(((‌| | )))((ن))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3_\8\10\12‌\17\03
((VBD))((ه))(((‌| | )))((ن))((می))(((‌| | )?))((شو))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10‌\15\17\03
((VBD))((ه))(((‌| | )))((ن))((می))(((‌| | )?))((شد))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10‌\15\17\03
((VBD))((ه))(((‌| | )))((ن))((شو))	\1\3_\8\10\03
((VBD))((ه))(((‌| | )))((ن))((شو))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10\12\03
((VBD))((ه))(((‌| | )))((ن))((شد))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10\12\03
((VBD))((ه))(((‌| | )))((خواه))((ند)|(م)|(یم)|(ی)|(ید)|(د))(((‌| | )))((شد))	\1\3_\8\10_\20
((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((باش))((ند)|(م)|(یم)|(ی)|(ید)|(د))	\1\3_\8\10_\15\17
((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((باش))((ی))	\1\3_\8\10_\15\17
((VBD))((ه))(((‌| | )))((شد))((ه))(((‌| | )))((بود))((یم)|(ی)|()|(ند)|(م)|(ید))	\1\3_\8\10_\15\17
((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((ن))((شد))((ه))(((‌| | )))((است))	\1\3_\8‌\13\15\17_\22\03
((VBD))((ه))(((‌| | )))((می))(((‌| | )?))((ن))((شد))((ه))(((‌| | )))((اند)|(ایم)|(ای)|(اید)|(ام))	\1\3_\8‌\13\15\17‌\22\03
